time,daily_max_T,daily_mean_T
1996.926115609258,NaN,-NaN
1996.928847849695,NaN,-NaN
1996.931580090132,NaN,-NaN
1996.934312330569,NaN,-NaN
1996.937044571006,NaN,-NaN
1996.939776811443,NaN,-NaN
1996.942509051881,NaN,-NaN
1996.945241292318,NaN,-NaN
1996.947973532755,NaN,-NaN
1996.950705773192,NaN,-NaN
1996.953438013629,NaN,-NaN
1996.956170254066,NaN,-NaN
1996.958902494503,NaN,-NaN
1996.961634734941,NaN,-NaN
1996.964366975378,NaN,-NaN
1996.967099215815,NaN,-NaN
1996.969831456252,NaN,-NaN
1996.972563696689,NaN,-NaN
1996.975295937126,NaN,-NaN
1996.978028177564,NaN,-NaN
1996.980760418001,NaN,-NaN
1996.983492658438,NaN,-NaN
1996.986224898875,NaN,-NaN
1996.988957139312,NaN,-NaN
1996.991689379749,NaN,-NaN
1996.994421620187,NaN,-NaN
1996.997153860624,NaN,-NaN
1996.999886101061,NaN,-NaN
1997.002618341498,NaN,-NaN
1997.005365205464,NaN,-NaN
1997.008104931818,NaN,-NaN
1997.010844657846,NaN,-NaN
1997.013584383873,NaN,-NaN
1997.016324109901,NaN,-NaN
1997.019063835928,NaN,-NaN
1997.021803561955,NaN,-NaN
1997.024543286676,NaN,-NaN
1997.027283012704,NaN,-NaN
1997.030022738731,NaN,-NaN
1997.032762464758,NaN,-NaN
1997.035502190786,NaN,-NaN
1997.038241916813,NaN,-NaN
1997.040981642841,NaN,-NaN
1997.043721368868,NaN,-NaN
1997.046461094895,NaN,-NaN
1997.049200820923,NaN,-NaN
1997.051940546950,NaN,-NaN
1997.054680272978,NaN,-NaN
1997.057419999005,NaN,-NaN
1997.060159725032,NaN,-NaN
1997.062899451060,NaN,-NaN
1997.065639177087,NaN,-NaN
1997.068378903115,NaN,-NaN
1997.071118629142,NaN,-NaN
1997.073858355169,NaN,-NaN
1997.076598081197,NaN,-NaN
1997.079337807224,NaN,-NaN
1997.082077533252,NaN,-NaN
1997.084817259279,NaN,-NaN
1997.087556985306,NaN,-NaN
1997.090296716559,NaN,-NaN
1997.093036442587,NaN,-NaN
1997.095776168614,NaN,-NaN
1997.098515894642,NaN,-NaN
1997.101255620669,NaN,-NaN
1997.103995346696,NaN,-NaN
1997.106735072724,NaN,-NaN
1997.109474798751,NaN,-NaN
1997.112214524779,NaN,-NaN
1997.114954250806,NaN,-NaN
1997.117693976833,NaN,-NaN
1997.120433702861,NaN,-NaN
1997.123173428888,NaN,-NaN
1997.125913154916,NaN,-NaN
1997.128652880943,NaN,-NaN
1997.131392606970,NaN,-NaN
1997.134132332998,NaN,-NaN
1997.136872059025,NaN,-NaN
1997.139611785052,NaN,-NaN
1997.142351511080,NaN,-NaN
1997.145091237107,NaN,-NaN
1997.147830963135,NaN,-NaN
1997.150570689162,NaN,-NaN
1997.153310415189,NaN,-NaN
1997.156050141217,NaN,-NaN
1997.158789867244,NaN,-NaN
1997.161529593272,NaN,-NaN
1997.164269319299,NaN,-NaN
1997.167009045326,NaN,-NaN
1997.169748771354,NaN,-NaN
1997.172488497381,NaN,-NaN
1997.175228223409,NaN,-NaN
1997.177967938985,NaN,-NaN
1997.180707665012,NaN,-NaN
1997.183447391040,NaN,-NaN
1997.186187117067,NaN,-NaN
1997.188926843095,NaN,-NaN
1997.191666569122,NaN,-NaN
1997.194406295149,NaN,-NaN
1997.197146021177,NaN,-NaN
1997.199885747204,NaN,-NaN
1997.202625473232,NaN,-NaN
1997.205365199259,NaN,-NaN
1997.208104925286,NaN,-NaN
1997.210844651314,NaN,-NaN
1997.213584377341,NaN,-NaN
1997.216324103368,NaN,-NaN
1997.219063829396,NaN,-NaN
1997.221803555423,NaN,-NaN
1997.224543281451,NaN,-NaN
1997.227283007478,NaN,-NaN
1997.230022733505,NaN,-NaN
1997.232762459533,NaN,-NaN
1997.235502185560,NaN,-NaN
1997.238241911588,NaN,-NaN
1997.240981637615,NaN,-NaN
1997.243721363642,NaN,-NaN
1997.246461089670,NaN,-NaN
1997.249200815697,NaN,-NaN
1997.251940541725,NaN,-NaN
1997.254680267752,NaN,-NaN
1997.257419993779,NaN,-NaN
1997.260159719807,NaN,-NaN
1997.262899445834,NaN,-NaN
1997.265639171862,NaN,-NaN
1997.268378897889,NaN,-NaN
1997.271118623916,NaN,-NaN
1997.273858349944,NaN,-NaN
1997.276598075971,NaN,-NaN
1997.279337801999,NaN,-NaN
1997.282077528026,NaN,-NaN
1997.284817254053,NaN,-NaN
1997.287556980081,NaN,-NaN
1997.290296706108,NaN,-NaN
1997.293036432136,NaN,-NaN
1997.295776158163,NaN,-NaN
1997.298515884190,NaN,-NaN
1997.301255610218,NaN,-NaN
1997.303995336245,NaN,-NaN
1997.306735062273,NaN,-NaN
1997.309474788300,NaN,-NaN
1997.312214514327,NaN,-NaN
1997.314954240355,NaN,-NaN
1997.317693966382,NaN,-NaN
1997.320433692410,NaN,-NaN
1997.323173418437,NaN,-NaN
1997.325913144464,NaN,-NaN
1997.328652870492,NaN,-NaN
1997.331392596519,NaN,-NaN
1997.334132322547,NaN,-NaN
1997.336872048574,NaN,-NaN
1997.339611774601,NaN,-NaN
1997.342351500629,NaN,-NaN
1997.345091226656,NaN,-NaN
1997.347830952684,NaN,-NaN
1997.350570678711,NaN,-NaN
1997.353310404738,NaN,-NaN
1997.356050130766,NaN,-NaN
1997.358789856793,NaN,-NaN
1997.361529582821,NaN,-NaN
1997.364269308848,NaN,-NaN
1997.367009034875,NaN,-NaN
1997.369748760903,NaN,-NaN
1997.372488486930,NaN,-NaN
1997.375228212958,NaN,-NaN
1997.377967938985,NaN,-NaN
1997.380707665012,NaN,-NaN
1997.383447391040,NaN,-NaN
1997.386187117067,NaN,-NaN
1997.388926843094,-12.0300,-14.5825
1997.391666569122,-11.0300,-16.5467
1997.394406295149,-7.65000,-19.4646
1997.397146021177,-16.4000,-21.3908
1997.399885747204,-12.8000,-19.9321
1997.402625473231,-14.2300,-18.0471
1997.405365199259,-7.23000,-13.5950
1997.408104925286,-11.1800,-14.2154
1997.410844651314,-10.8800,-14.6888
1997.413584377341,-14.5800,-17.0579
1997.416324103368,-13.0700,-17.3704
1997.419063829396,-10.3500,-14.8158
1997.421803555423,-10.4900,-15.6925
1997.424543281451,-12.2600,-15.7875
1997.427283007478,-11.2400,-13.3021
1997.430022733505,-12.6700,-15.6892
1997.432762459533,-10.4900,-16.2417
1997.435502185560,-11.3800,-17.2413
1997.438241911588,-11.4000,-16.9179
1997.440981637615,-10.3700,-14.1342
1997.443721363642,-2.51000,-9.67875
1997.446461089670,-7.82000,-11.2242
1997.449200815697,-1.92000,-10.0537
1997.451940541725,-10.1600,-11.8229
1997.454680267752,-10.1800,-13.3479
1997.457419993779,-5.97000,-10.0763
1997.460159719807,-5.92000,-8.17250
1997.462899445834,-5.93000,-8.04500
1997.465639171862,-4.10000,-9.81417
1997.468378897889,-4.45000,-10.5725
1997.471118623916,-7.10000,-10.6179
1997.473858349944,-3.49000,-10.2679
1997.476598075971,-6.54000,-12.0662
1997.479337801999,-8.45000,-10.9917
1997.482077528026,-7.96000,-11.8017
1997.484817254053,-7.82000,-11.1029
1997.487556980081,-7.90000,-10.7712
1997.490296706108,-7.94000,-12.9925
1997.493036432136,-8.45000,-13.7250
1997.495776158163,-6.71000,-10.5592
1997.498515884190,-8.14000,-9.29333
1997.501255610218,-6.91000,-11.2967
1997.503995336245,-9.14000,-11.7563
1997.506735062273,-10.2800,-11.7929
1997.509474788300,-11.2600,-13.2629
1997.512214514327,-11.9500,-14.1383
1997.514954240355,-9.64000,-12.7292
1997.517693966382,-10.3000,-12.8771
1997.520433692410,-10.6400,-11.8917
1997.523173418437,-9.91000,-12.4325
1997.525913144464,-8.69000,-14.2833
1997.528652870492,-10.7400,-13.4954
1997.531392596519,-11.9800,-13.5479
1997.534132322547,-12.1800,-14.2475
1997.536872048574,-11.2900,-12.7908
1997.539611774601,-11.0400,-12.3467
1997.542351500629,-12.1600,-13.3575
